doc_id,text,IsPatentCited,abstract,aff_affiliations,aff_authorids,aff_paperid,authors,citationCount,externalIds,fieldsOfStudy,influentialCitationCount,isOpenAccess,journal,publicationDate,publicationTypes,referenceCount,title,url,venue,year
1965447681,"Recent advances in sensing technology have enabled a new generation of tabletop displays that can sense multiple points of input from several users simultaneously. However, apart from a few demonstration techniques [17], current user interfaces do not take advantage of this increased input bandwidth. We present a variety of multifinger and whole hand gestural interaction techniques for these displays that leverage and extend the types of actions that people perform when interacting on real physical tabletops. Apart from gestural input techniques, we also explore interaction and visualization techniques for supporting shared spaces, awareness, and privacy. These techniques are demonstrated within a prototype room furniture layout application, called RoomPlanner.",1.0,"Recent advances in sensing technology have enabled a new generation of tabletop displays that can sense multiple points of input from several users simultaneously. However, apart from a few demonstration techniques [17], current user interfaces do not take advantage of this increased input bandwidth. We present a variety of multifinger and whole hand gestural interaction techniques for these displays that leverage and extend the types of actions that people perform when interacting on real physical tabletops. Apart from gestural input techniques, we also explore interaction and visualization techniques for supporting shared spaces, awareness, and privacy. These techniques are demonstrated within a prototype room furniture layout application, called RoomPlanner.","['Dept. of Computer Sci. University of Toronto', 'Dept. of Computer Sci. University of Toronto']","['2123357461', '2130130894']",1965447681.0,"{'offset': 0, 'data': [{'authorId': '33222621', 'url': 'https://www.semanticscholar.org/author/33222621', 'name': 'Mike Wu', 'affiliations': [], 'homepage': None, 'paperCount': 20, 'citationCount': 1125}, {'authorId': '1748870', 'url': 'https://www.semanticscholar.org/author/1748870', 'name': 'Ravin Balakrishnan', 'affiliations': [], 'homepage': None, 'paperCount': 179, 'citationCount': 14686}]}",527.0,"{'MAG': '1965447681', 'DBLP': 'conf/uist/WuB03', 'DOI': '10.1145/964696.964718', 'CorpusId': 207583051}",['Computer Science'],30.0,True,{'pages': '193-202'},11/2/2003,['JournalArticle'],33.0,Multi-finger and whole hand gestural interaction techniques for multi-user tabletop displays,https://www.semanticscholar.org/paper/bbd13d2f92aeb08d73978e8958a12f793f175b8c,UIST,2003
1977150168,"Computer sliders are a generic user input mechanism for specifying a numeric value from a range. For data visualization, the effectiveness of sliders may be increased by using the space inside the slider as• an interactive color scale,• a barplot for discrete data, and• a density plot for continuous data.The idea is to show the selected values in relation to the data and its distribution. Furthermore, the selection mechanism may be generalized using a painting metaphor to specify arbitrary, disconnected intervals while maintaining an intuitive user-interface.",1.0,"Computer sliders are a generic user input mechanism for specifying a numeric value from a range. For data visualization, the effectiveness of sliders may be increased by using the space inside the slider as• an interactive color scale,• a barplot for discrete data, and• a density plot for continuous data.The idea is to show the selected values in relation to the data and its distribution. Furthermore, the selection mechanism may be generalized using a painting metaphor to specify arbitrary, disconnected intervals while maintaining an intuitive user-interface.","['AT&T Bell Laboratories - Room IHC 1G-351, 1000 E. Warrenville Road, Naperville, Illinois']",['2230662789'],1977150168.0,"{'offset': 0, 'data': [{'authorId': '34692876', 'url': 'https://www.semanticscholar.org/author/34692876', 'name': 'S. Eick', 'affiliations': [], 'homepage': None, 'paperCount': 112, 'citationCount': 5091}]}",123.0,"{'MAG': '64851601', 'DBLP': 'conf/uist/Eick94', 'DOI': '10.1145/192426.192472', 'CorpusId': 14230987}",['Computer Science'],5.0,False,{'pages': '119-120'},11/2/1994,['JournalArticle'],10.0,Data visualization sliders,https://www.semanticscholar.org/paper/540232bb2196b622251126b7981c17bba66b5cbe,UIST,1994
1984575025,"This research explores distributed sensing techniques for mobile devices using synchronous gestures. These are patterns of activity, contributed by multiple users (or one user with multiple devices), which take on a new meaning when they occur together in time, or in a specific sequence in time. To explore this new area of inquiry, this work uses tablet computers augmented with touch sensors and two-axis linear accelerometers (tilt sensors). The devices are connected via an 802.11 wireless network and synchronize their time-stamped sensor data. This paper describes a few practical examples of interaction techniques using synchronous gestures such as dynamically tiling together displays by physically bumping them together, discusses implementation issues, and speculates on further possibilities for synchronous gestures.",1.0,"This research explores distributed sensing techniques for mobile devices using synchronous gestures. These are patterns of activity, contributed by multiple users (or one user with multiple devices), which take on a new meaning when they occur together in time, or in a specific sequence in time. To explore this new area of inquiry, this work uses tablet computers augmented with touch sensors and two-axis linear accelerometers (tilt sensors). The devices are connected via an 802.11 wireless network and synchronize their time-stamped sensor data. This paper describes a few practical examples of interaction techniques using synchronous gestures such as dynamically tiling together displays by physically bumping them together, discusses implementation issues, and speculates on further possibilities for synchronous gestures.","['Microsoft Research, One Microsoft Way Redmond, WA#TAB#']",['1560725665'],1984575025.0,"{'offset': 0, 'data': [{'authorId': '1738072', 'url': 'https://www.semanticscholar.org/author/1738072', 'name': 'K. Hinckley', 'affiliations': [], 'homepage': None, 'paperCount': 163, 'citationCount': 9081}]}",299.0,"{'MAG': '1984575025', 'DBLP': 'conf/uist/Hinckley03', 'DOI': '10.1145/964696.964713', 'CorpusId': 10639720}",['Computer Science'],18.0,True,{'pages': '149-158'},11/2/2003,['JournalArticle'],32.0,Synchronous gestures for multiple persons and computers,https://www.semanticscholar.org/paper/c24047d431d0c1d1881e83bbf0caf1fd86ffc2ee,UIST,2003
1984975460,"While onboard navigation systems are gaining in importance, maps are still the medium of choice for laying out a route to a destination and for way finding. However, even with a map, one is almost always more comfortable navigating a route the second time due to the visual memory of the route. To make the first time navigating a route feel more familiar, we present a system that integrates a map with a video automatically constructed from panoramic imagery captured at close intervals along the route. The routing information is used to create a variable speed video depicting the route. During playback of the video, the frame and field of view are dynamically modulated to highlight salient features along the route and connect them back to the map. A user interface is demonstrated to allow exploration of the combined map, video, and textual driving directions. We discuss the construction of the hybrid map and video interface. Finally, we report the results of a study that provides evidence of the effectiveness of such a system for route following.",1.0,"While onboard navigation systems are gaining in importance, maps are still the medium of choice for laying out a route to a destination and for way finding. However, even with a map, one is almost always more comfortable navigating a route the second time due to the visual memory of the route. To make the first time navigating a route feel more familiar, we present a system that integrates a map with a video automatically constructed from panoramic imagery captured at close intervals along the route. The routing information is used to create a variable speed video depicting the route. During playback of the video, the frame and field of view are dynamically modulated to highlight salient features along the route and connect them back to the map. A user interface is demonstrated to allow exploration of the combined map, video, and textual driving directions. We discuss the construction of the hybrid map and video interface. Finally, we report the results of a study that provides evidence of the effectiveness of such a system for route following.","['Microsoft, Redmond WA, USA', 'University of Konstanz, Konstanz, GERMANY', 'Microsoft, Redmond WA, USA', 'Microsoft, Redmond WA, USA', 'University of Konstanz, Konstanz, GERMANY']","['1794776656', '1942387931', '2124876992', '3049172691', '74604451']",1984975460.0,"{'offset': 0, 'data': [{'authorId': '48951491', 'url': 'https://www.semanticscholar.org/author/48951491', 'name': 'Billy Chen', 'affiliations': [], 'homepage': None, 'paperCount': 21, 'citationCount': 1289}, {'authorId': '2466324', 'url': 'https://www.semanticscholar.org/author/2466324', 'name': 'B. Neubert', 'affiliations': [], 'homepage': None, 'paperCount': 28, 'citationCount': 1072}, {'authorId': '20592981', 'url': 'https://www.semanticscholar.org/author/20592981', 'name': 'E. Ofek', 'affiliations': [], 'homepage': None, 'paperCount': 130, 'citationCount': 6658}, {'authorId': '1850438', 'url': 'https://www.semanticscholar.org/author/1850438', 'name': 'O. Deussen', 'affiliations': [], 'homepage': None, 'paperCount': 274, 'citationCount': 8075}, {'authorId': '1400248273', 'url': 'https://www.semanticscholar.org/author/1400248273', 'name': 'Michael F. Cohen', 'affiliations': [], 'homepage': None, 'paperCount': 179, 'citationCount': 20971}]}",24.0,"{'MAG': '1984975460', 'DBLP': 'conf/uist/ChenNODC09', 'DOI': '10.1145/1622176.1622218', 'CorpusId': 7041529}",['Computer Science'],1.0,True,{'pages': '223-232'},10/4/2009,['JournalArticle'],17.0,Integrated videos and maps for driving directions,https://www.semanticscholar.org/paper/052cddeef87d81cf3c4f42ff56c16273fb67d2fa,UIST,2009
1985543789,"In this paper we propose a novel way of supporting occasional meetings that take place in unfamiliar public places, which promotes lightweight, visible and fluid collaboration. Our central idea is that the sharing and exchange of information occurs across public surfaces that users can easily access and interact with. To this end, we designed and implemented Dynamo, a communal multi-user interactive surface. The surface supports the cooperative sharing and exchange of a wide range of media that can be brought to the surface by users that are remote from their familiar organizational settings.",1.0,"In this paper we propose a novel way of supporting occasional meetings that take place in unfamiliar public places, which promotes lightweight, visible and fluid collaboration. Our central idea is that the sharing and exchange of information occurs across public surfaces that users can easily access and interact with. To this end, we designed and implemented Dynamo, a communal multi-user interactive surface. The surface supports the cooperative sharing and exchange of a wide range of media that can be brought to the surface by users that are remote from their familiar organizational settings.","['The Mixed Reality Lab, University of Nottingham, Nottingham, UK NG8 1BB', 'The Interact Lab, COGS, University of Sussex, Sussex, UK', 'The Mixed Reality Lab, University of Nottingham, Nottingham, UK NG8 1BB', 'The Interact Lab, COGS, University of Sussex, Sussex, UK', 'The Interact Lab, COGS, University of Sussex, Sussex, UK']","['1980670276', '2039523318', '2098553916', '2144042109', '2166804211']",1985543789.0,"{'offset': 0, 'data': [{'authorId': '79406746', 'url': 'https://www.semanticscholar.org/author/79406746', 'name': 'S. Izadi', 'affiliations': [], 'homepage': None, 'paperCount': 212, 'citationCount': 20595}, {'authorId': '2967611', 'url': 'https://www.semanticscholar.org/author/2967611', 'name': 'Harry Brignull', 'affiliations': [], 'homepage': None, 'paperCount': 10, 'citationCount': 1215}, {'authorId': '145282573', 'url': 'https://www.semanticscholar.org/author/145282573', 'name': 'T. Rodden', 'affiliations': [], 'homepage': None, 'paperCount': 378, 'citationCount': 15105}, {'authorId': '1685816', 'url': 'https://www.semanticscholar.org/author/1685816', 'name': 'Y. Rogers', 'affiliations': [], 'homepage': None, 'paperCount': 361, 'citationCount': 21895}, {'authorId': '33347932', 'url': 'https://www.semanticscholar.org/author/33347932', 'name': 'M. Underwood', 'affiliations': [], 'homepage': None, 'paperCount': 3, 'citationCount': 363}]}",291.0,"{'DBLP': 'conf/uist/IzadiBRRU03', 'MAG': '1985543789', 'DOI': '10.1145/964696.964714', 'CorpusId': 8908560}",['Computer Science'],18.0,False,{'pages': '159-168'},11/2/2003,['JournalArticle'],30.0,Dynamo: a public interactive surface supporting the cooperative sharing and exchange of media,https://www.semanticscholar.org/paper/9b740418b8c689b13a153c50055a3b329480cbca,UIST,2003
1991211783,"Spatial augmented reality (SAR) promises the integration of digital information in the real (physical) world through projection. In this doctoral symposium paper, I propose different tools to improve speed or ease the drawing by projecting photos, virtual construction lines and interactive 3D scenes. After describing the tools, I explain some future challenges to explore such as the creation of tools which helps to create drawings that are ""difficult"" to achieve for a human being, but easy to do by a computer. Furthermore, I propose some insights for the creation of digital games and programs which can take full advantages of physical drawings.",0.0,"Spatial augmented reality (SAR) promises the integration of digital information in the real (physical) world through projection. In this doctoral symposium paper, I propose different tools to improve speed or ease the drawing by projecting photos, virtual construction lines and interactive 3D scenes. After describing the tools, I explain some future challenges to explore such as the creation of tools which helps to create drawings that are ""difficult"" to achieve for a human being, but easy to do by a computer. Furthermore, I propose some insights for the creation of digital games and programs which can take full advantages of physical drawings.","['Inria Bordeaux Sud-Ouest, Bordeaux, France.', 'Bordeaux University, Bordeaux, France']","['1311744216', '432195661']",1991211783.0,"{'offset': 0, 'data': [{'authorId': '3421303', 'url': 'https://www.semanticscholar.org/author/3421303', 'name': 'Jérémy Laviole', 'affiliations': [], 'homepage': None, 'paperCount': 12, 'citationCount': 249}, {'authorId': '2281511', 'url': 'https://www.semanticscholar.org/author/2281511', 'name': 'M. Hachet', 'affiliations': [], 'homepage': None, 'paperCount': 150, 'citationCount': 2396}]}",7.0,"{'DBLP': 'conf/uist/LavioleH12a', 'MAG': '1991211783', 'DOI': '10.1145/2380296.2380316', 'CorpusId': 6094073}",['Computer Science'],0.0,True,{'pages': '43-46'},10/7/2012,['JournalArticle'],15.0,Spatial augmented reality to enhance physical artistic creation,https://www.semanticscholar.org/paper/fff5e7c3a4ab929331854e3d6ba15cae0a4a3497,UIST,2012
1993608429,"We have previously developed a collaborative infrastructure called SCAPE - an acronym for Stereoscopic Collaboration in Augmented and Projective Environments - that integrates the traditionally separate paradigms of virtual and augmented reality. In this paper, we extend SCAPE by formalizing its underlying mathematical framework and detailing three augmented Widgets constructed via this framework: CoCylinder, Magnifier, and CoCube. These devices promote intuitive ways of selecting, examining, and sharing synthetic objects, and retrieving associated documentary text. Finally we present a testbed application to showcase SCAPE's capabilities for interaction in large, augmented virtual environments.",1.0,"We have previously developed a collaborative infrastructure called SCAPE - an acronym for Stereoscopic Collaboration in Augmented and Projective Environments - that integrates the traditionally separate paradigms of virtual and augmented reality. In this paper, we extend SCAPE by formalizing its underlying mathematical framework and detailing three augmented Widgets constructed via this framework: CoCylinder, Magnifier, and CoCube. These devices promote intuitive ways of selecting, examining, and sharing synthetic objects, and retrieving associated documentary text. Finally we present a testbed application to showcase SCAPE's capabilities for interaction in large, augmented virtual environments.","['Information & Computer Sciences, University of Hawaii, Honolulu, HI#TAB#', 'Beckman Inst., Univ. of Illinois, Urbana, IL', 'Beckman Inst., Univ. of Illinois, Urbana, IL']","['2120873243', '2161407021', '2341421681']",1993608429.0,"{'offset': 0, 'data': [{'authorId': '37980155', 'url': 'https://www.semanticscholar.org/author/37980155', 'name': 'L. D. Brown', 'affiliations': [], 'homepage': None, 'paperCount': 14, 'citationCount': 584}, {'authorId': '143768640', 'url': 'https://www.semanticscholar.org/author/143768640', 'name': 'H. Hua', 'affiliations': [], 'homepage': None, 'paperCount': 187, 'citationCount': 3888}, {'authorId': '40665566', 'url': 'https://www.semanticscholar.org/author/40665566', 'name': 'C. Gao', 'affiliations': [], 'homepage': None, 'paperCount': 30, 'citationCount': 922}]}",304.0,"{'MAG': '1993608429', 'DBLP': 'conf/uist/BrownHG03', 'DOI': '10.1145/964696.964697', 'CorpusId': 16182440}",['Computer Science'],4.0,False,{'pages': '1-10'},11/2/2003,['JournalArticle'],36.0,A widget framework for augmented interaction in SCAPE,https://www.semanticscholar.org/paper/eb9639cce59d38265e775c1e8593edf0d9ea4071,UIST,2003
1995004236,"In this paper, we describe Kimura, an augmented office environment to support common multitasking practices. Previous systems, such as Rooms, limit users by constraining the interaction to the desktop monitor. In Kimura, we leverage interactive projected peripheral displays to support the perusal, manipulation and awareness of background activities. Furthermore, each activity is represented by a montage comprised of images from current and past interaction on the desktop. These montages help remind the user of past actions, and serve as a springboard for ambient context-aware reminders and notifications.",1.0,"In this paper, we describe Kimura, an augmented office environment to support common multitasking practices. Previous systems, such as Rooms, limit users by constraining the interaction to the desktop monitor. In Kimura, we leverage interactive projected peripheral displays to support the perusal, manipulation and awareness of background activities. Furthermore, each activity is represented by a montage comprised of images from current and past interaction on the desktop. These montages help remind the user of past actions, and serve as a springboard for ambient context-aware reminders and notifications.","['Georgia Tech. Atlanta, GA#TAB#', 'Georgia Tech. Atlanta, GA#TAB#', 'Georgia Tech. Atlanta, GA#TAB#', 'Georgia Tech. Atlanta, GA#TAB#', 'Georgia Tech. Atlanta, GA#TAB#', 'University of Aarhus, Aabogade 34A, 8200 Aarhus N, Denmark#TAB#']","['18171182', '2022470897', '2028099635', '2108490771', '211303378', '2781355347']",1995004236.0,"{'offset': 0, 'data': [{'authorId': '145931052', 'url': 'https://www.semanticscholar.org/author/145931052', 'name': 'B. MacIntyre', 'affiliations': [], 'homepage': None, 'paperCount': 151, 'citationCount': 11664}, {'authorId': '1752751', 'url': 'https://www.semanticscholar.org/author/1752751', 'name': 'Elizabeth D. Mynatt', 'affiliations': [], 'homepage': None, 'paperCount': 262, 'citationCount': 13114}, {'authorId': '1804450', 'url': 'https://www.semanticscholar.org/author/1804450', 'name': 'Stephen Voida', 'affiliations': [], 'homepage': None, 'paperCount': 81, 'citationCount': 2032}, {'authorId': '1781815', 'url': 'https://www.semanticscholar.org/author/1781815', 'name': 'K. M. Hansen', 'affiliations': [], 'homepage': None, 'paperCount': 106, 'citationCount': 2057}, {'authorId': '3126077', 'url': 'https://www.semanticscholar.org/author/3126077', 'name': 'J. Tullio', 'affiliations': [], 'homepage': None, 'paperCount': 28, 'citationCount': 1137}, {'authorId': '32130173', 'url': 'https://www.semanticscholar.org/author/32130173', 'name': 'G. Corso', 'affiliations': [], 'homepage': None, 'paperCount': 54, 'citationCount': 573}]}",206.0,"{'DBLP': 'conf/uist/MacIntyreMVHTC01', 'MAG': '1995004236', 'DOI': '10.1145/502348.502355', 'CorpusId': 5976911}",['Computer Science'],8.0,False,{'pages': '41-50'},11/11/2001,['JournalArticle'],30.0,Support for multitasking and background awareness using interactive peripheral displays,https://www.semanticscholar.org/paper/4354e022e9afeda60829579142d6062d2913a29f,UIST,2001
1996202517,"UIST is the premier forum on innovative engineering of the human-computer interface. The symposium brings together user-interface researchers and practitioners with an interest in techniques, tools, and technology for constructing quality, innovative user interfaces. UIST grew out of a series of SIGGRAPH-supported workshops on User Interface Management Systems (UIMS).",0.0,"UIST is the premier forum on innovative engineering of the human-computer interface. The symposium brings together user-interface researchers and practitioners with an interest in techniques, tools, and technology for constructing quality, innovative user interfaces. UIST grew out of a series of SIGGRAPH-supported workshops on User Interface Management Systems (UIMS).",['Université Paris-Sud'],['2674390412'],1996202517.0,"{'offset': 0, 'data': [{'authorId': '1401678555', 'url': 'https://www.semanticscholar.org/author/1401678555', 'name': 'M. Beaudouin-Lafon', 'affiliations': [], 'homepage': None, 'paperCount': 177, 'citationCount': 7255}]}",0.0,"{'MAG': '1996202517', 'DBLP': 'conf/uist/2002', 'DOI': '10.1145/571985', 'CorpusId': 45681232}",['Computer Science'],0.0,False,"{'name': '', 'volume': ''}",10/27/2002,['Conference'],0.0,"Proceedings of the 15th Annual ACM Symposium on User Interface Software and Technology, Paris, France, October 27-30, 2002",https://www.semanticscholar.org/paper/f95e1a99de397345a6c4943234fa5692e304e3b8,UIST,2002
1998246765,"We present the iRing, an intelligent input ring device developed for measuring finger gestures and external input. iRing recognizes rotation, finger bending, and external force via an infrared (IR) reflection sensor that leverages skin characteristics such as reflectance and softness. Furthermore, iRing allows using a push and stroke input method, which is popular in touch displays. The ring design has potential to be used as a wearable controller because its accessory shape is socially acceptable, easy to install, and safe, and iRing does not require extra devices. We present examples of iRing applications and discuss its validity as an inexpensive wearable interface and as a human sensing device.",1.0,"We present the iRing, an intelligent input ring device developed for measuring finger gestures and external input. iRing recognizes rotation, finger bending, and external force via an infrared (IR) reflection sensor that leverages skin characteristics such as reflectance and softness. Furthermore, iRing allows using a push and stroke input method, which is popular in touch displays. The ring design has potential to be used as a wearable controller because its accessory shape is socially acceptable, easy to install, and safe, and iRing does not require extra devices. We present examples of iRing applications and discuss its validity as an inexpensive wearable interface and as a human sensing device.","['Keio University, YOKOHAMA, KANAGAWA, Japan', 'Keio University, YOKOHAMA, KANAGAWA, Japan', 'Keio University, YOKOHAMA, KANAGAWA, Japan', 'Keio University, YOKOHAMA, KANAGAWA, Japan']","['2094771307', '2112088904', '2155357175', '2810579644']",1998246765.0,"{'offset': 0, 'data': [{'authorId': '2107306', 'url': 'https://www.semanticscholar.org/author/2107306', 'name': 'Masa Ogata', 'affiliations': [], 'homepage': None, 'paperCount': 35, 'citationCount': 508}, {'authorId': '1799242', 'url': 'https://www.semanticscholar.org/author/1799242', 'name': 'Yuta Sugiura', 'affiliations': [], 'homepage': None, 'paperCount': 175, 'citationCount': 1137}, {'authorId': '145978249', 'url': 'https://www.semanticscholar.org/author/145978249', 'name': 'Hirotaka Osawa', 'affiliations': [], 'homepage': None, 'paperCount': 133, 'citationCount': 718}, {'authorId': '1752970', 'url': 'https://www.semanticscholar.org/author/1752970', 'name': 'M. Imai', 'affiliations': [], 'homepage': None, 'paperCount': 267, 'citationCount': 3734}]}",86.0,"{'DBLP': 'conf/uist/OgataSOI12', 'MAG': '1998246765', 'DOI': '10.1145/2380116.2380135', 'CorpusId': 18774243}",['Computer Science'],5.0,False,{'name': 'Proceedings of the 25th annual ACM symposium on User interface software and technology'},10/7/2012,"['Book', 'JournalArticle', 'Conference']",8.0,iRing: intelligent ring using infrared reflection,https://www.semanticscholar.org/paper/869156d56cf1ce9c9c9cbc20aa83b6e6f320566d,UIST,2012
