doc_id,text,Likes,Love,Haha,Wow,Angry,Sad,Care,Shares,Comments,Total Interactions,Total Views,Total Views For All Crossposts,Link,Link Text,Followers at Posting,Overperforming Score,Page Admin Top Country,Page Category,Page Name,Page Created,Page Description,Post Created,Post Created Date,Post Created Time,Post Views,Type,URL,User Name,Video Length,Video Share Status
5576,"New year, new chance to sign up for a quality ACA healthcare plan. Before January 15, take some time to find a plan that works for you and #GetCovered in 2023 at",36,6,9,0,0,0,1,6,58,116,0,0,https://healthcare.gov/,Get 2023 health coverage. Health Insurance Marketplace®,262502,-1.41,US,GOVERNMENT_OFFICIAL,Senator Tammy Duckworth,2013-01-03 17:35:17,"U.S. Senator Tammy Duckworth is an Iraq War Veteran, Purple Heart recipient and former Assistant Secretary of the Department of Veterans Affairs. She was among the first Army women to fly combat missions during Operation Iraqi Freedom. Duckworth served in the Reserve Forces for 23 years before retiring from military service in 2014 at the rank of Lieutenant Colonel. She was elected to the U.S. Senate in 2016 after representing Illinois’s Eighth Congressional District in the U.S. House of Representatives for two terms.

Duckworth attended college at the University of Hawaii and earned a Master of Arts in International Affairs from the George Washington University. Following graduation, Duckworth, who is fluent in Thai and Indonesian, moved to Illinois and began pursuing a Ph.D. in Political Science at Northern Illinois University. She also worked at NIU’s School of Nursing researching public health and environmental causes of cancer. Later, Duckworth worked for Rotary International as a manager for administration of Rotary clubs in the Asia Pacific Region.

In 2004, Duckworth was deployed to Iraq as a Black Hawk helicopter pilot for the Illinois Army National Guard. On November 12, 2004, her helicopter was hit by an RPG and Duckworth lost her legs and partial use of her right arm.

Senator Duckworth spent the next year recovering at Walter Reed Army Medical Center, where she quickly became an advocate for her fellow Soldiers and testified before Congress about caring for our Veterans and wounded warriors. Following her recovery, she became Director of the Illinois Department of Veterans Affairs, working to create a tax credit for employers who hired Veterans, establish a first-in-the-nation 24/7 Veterans crisis hotline and develop innovative programs to improve Veterans’ access to housing and health care.

In 2009, President Obama appointed Duckworth to be Assistant Secretary of Veterans Affairs. At VA, Duckworth coordinated the joint initiative with the U.S. Department of Housing and Urban Development to end Veteran homelessness. She also created the Office of Online Communications to improve the VA’s accessibility, especially among young Veterans, and also worked to address the unique challenges that Native American and female Veterans face.

Since her recovery, Duckworth has resumed flying as a civilian pilot and fulfilled a promise she made at Walter Reed by completing several marathons. In her spare time, she volunteers at local food pantries and enjoys couponing and flea markets. In 2015, Duckworth completed her Ph.D in Human Services at Capella University.

In the U.S. House, Duckworth was an advocate for working families and job creation, introducing bills like her bipartisan Friendly Airports for Mothers Act to ensure new mothers have access to safe, clean and accessible lactation rooms when traveling through airports, which passed the Senate. She introduced the In the Red Act to help put our nation on the path toward debt-free college, the Get the Lead Out Act to keep America’s drinking water safe and bipartisan legislation to help close the skills gap while helping people find good-paying jobs. Duckworth also co-sponsored the No Budget, No Pay Act, which would ensure members of Congress only get paid if they pass a budget.

She also served on the House Armed Services Committee and the House Oversight and Government Reform Committee, where she was Ranking Member of the Transportation and Public Assets subcommittee. She introduced and helped pass several important policies through her work on these committees, including the Clay Hunt SAV Act to help reduce Veterans suicide and improve VA mental health services and the Troop Talent Act which helps returning Veterans find jobs in the private sector. She also effectively cut waste and fraud at the Pentagon and throughout government, including passing a common-sense provision to reduce redundancy in Armed Forces uniforms that the nonpartisan U.S. Government Accountability Office found will save taxpayers more than $4 billion over 5 years.

In the U.S. Senate, Duckworth serves on several influential committees that give her an important platform to advocate for Illinois’s working families and entrepreneurs: the Environment & Public Works Committee; the Energy & Natural Resources Committee; the Commerce, Science, & Transportation Committee; and the Small Business & Entrepreneurship Committee. As Senator, she advocates for practical, common-sense solutions needed to move our country and our state forward like: rebuilding our crumbling infrastructure, keeping our water systems safe and lead-free, growing manufacturing jobs while supporting minority-owned small businesses, investing in communities that have been ignored for too long, and making college more affordable for all Americans. And Duckworth continues with her lifelong mission of supporting, protecting and keeping the promises we’ve made to our Veterans as well as ensuring that we stand fully...",2023-01-02 12:46:02 PST,2023-01-02,12:46:02,0,Link,https://www.facebook.com/100044433069554/posts/754751356015960,SenDuckworth,,
1451,"It’s been incredible to meet with so many New Yorkers today as we celebrate #MLKDay and as we work to honor the life and legacy of Reverend Dr. Martin Luther King, Jr. by continuing his march toward equality for all.",373,97,19,2,1,0,9,41,363,905,0,0,https://www.facebook.com/photo.php?fbid=752913616193244&set=a.430226798461929&type=3,Photos from Senator Chuck Schumer's post,581699,1.07,US,GOVERNMENT_OFFICIAL,Senator Chuck Schumer,2008-06-18 5:15:55,"Official Account of Senator Chuck Schumer, New York’s Senator and the Senate Majority Leader.",2023-01-16 12:31:10 PST,2023-01-16,12:31:10,0,Photo,https://www.facebook.com/100044238375809/posts/752914479526491,senschumer,,
7326,"Glad to be at the historic opening of the Alief Multi-Service Center; joined by Mayor @sylvesterturner and Councilmember @tiffanydeshellthomas . From swimming pools, to tennis courts, to skate parks, this facility will serve our city greatly for years to come.",35,10,9,0,0,0,0,4,10,68,0,0,https://www.facebook.com/photo.php?fbid=718428489640576&set=a.401340048016090&type=3,Photos from Congresswoman Sheila Jackson Lee's post,59090,-3.15,US,POLITICIAN,Congresswoman Sheila Jackson Lee,2009-09-16 22:20:30,Representing the 18th Congressional District of Texas since 1995,2023-01-14 20:39:46 PST,2023-01-14,20:39:46,0,Photo,https://www.facebook.com/100044202950815/posts/718428542973904,CongresswomanSheilaJacksonLee,,
4101,"I obtained $1,800,000 for the Roe Road Extension Project in Paradise and $1,400,000 for the Cohasset Road Widening and Fire Safety Project to improve evacuation routes in those areas. These projects are focused on increasing road capacity to help people more quickly evacuate areas threatened by natural disasters, such as wildfires. This also aids first responders and emergency services to get to a disaster scene more expeditiously. These improvements to evacuation infrastructure will improve the safety and quality of life for the residents of Paradise and Butte County. Learning from previous disasters and expanding our ability to react and respond helps us prepare for potential new ones.",83,2,8,2,0,0,1,7,90,193,0,0,https://lamalfa.house.gov/media-center/press-releases/congressman-lamalfa-announces-cohasset-road-widening-and-roe-road,Congressman LaMalfa Announces Cohasset Road Widening and Roe Road Extension Funding,28147,1.16,US,GOVERNMENT_OFFICIAL,Rep. Doug LaMalfa,2014-11-10 16:20:00,"This is the official Facebook page of Representative Doug LaMalfa, a father and farmer proudly servi",2023-01-09 14:27:21 PST,2023-01-09,14:27:21,0,Link,https://www.facebook.com/100044702941828/posts/693913072108785,RepLaMalfa,,
2551,The fatal beating of Tyre Nichols is horrifying. I’m devastated for his family and the Memphis community. We must fight for a world that ends this injustice and inhumane brutality at last.,81,2,0,0,1,18,23,7,275,407,0,0,,,109209,1.37,US,GOVERNMENT_OFFICIAL,Senator Michael Bennet,2009-06-26 14:35:24,"Michael Bennet is a U.S. Senator from Colorado. To send him a message, visit bennet.senate.gov",2023-01-28 08:10:14 PST,2023-01-28,8:10:14,0,Status,https://www.facebook.com/100044567373540/posts/731701964992043,senbennetco,,
9201,"I am honored to continue serving on the Transportation and Infrastructure Committee Republicans. Solid infrastructure is critical to Florida’s economy, which is dependent on moving goods and people efficiently and effectively. There’s important work to be done in improving our infrastructure, and I look forward to working with Sam Graves, the members and applying my nearly 40 years of transportation policy and program experience to invest in our infrastructure system with creative funding ideas and innovative programs.",17,0,1,0,1,0,0,0,16,35,0,0,https://transportation.house.gov/news/documentsingle.aspx?DocumentID=406033,Graves Welcomes Republican T&I Committee Members Recommended by Steering Committee for the 118th Congress | Transportation and Infrastructure Committee,22353,-1.57,US,GOVERNMENT_OFFICIAL,Congressman Daniel Webster,2011-01-04 15:11:24,Congressman Daniel Webster represents the constituents of Florida's 11th Congressional District.,2023-01-17 09:28:44 PST,2023-01-17,9:28:44,0,Link,https://www.facebook.com/100044286711124/posts/734274434725440,RepWebster,,
4301,I am grateful for the opportunity to represent the citizens of South Carolina’s Second Congressional District and remain accessible to them.,60,14,8,0,1,0,1,4,92,180,0,0,https://joewilson.house.gov/media-center/press-releases/wilson-sworn-into-118th-congress,Wilson Sworn into 118th Congress,40855,2.61,US,GOVERNMENT_OFFICIAL,Joe Wilson,2009-04-08 15:34:51,"This is my official Congressional Facebook page. 
",2023-01-07 09:16:37 PST,2023-01-07,9:16:37,0,Link,https://www.facebook.com/100044511644510/posts/716757949817920,JoeWilson,,
8601,"As we pause, today, to honor the life and legacy of Dr. Martin Luther King Jr., let us also recommit ourselves to creating the more just and equal society he dreamt of. #MLKday",30,9,0,0,1,0,0,3,2,45,0,0,https://www.facebook.com/photo.php?fbid=707945004043036&set=a.430209915149881&type=3,,27357,-4.13,US,GOVERNMENT_OFFICIAL,Congresswoman Diana DeGette,2009-06-23 20:42:48,I have the honor of representing Colorado's 1st Congressional District.,2023-01-16 07:24:30 PST,2023-01-16,7:24:30,0,Photo,https://www.facebook.com/100044826287042/posts/707945037376366,DianaDeGette,,
9376,"Exciting news! Georgia Southern University Soldier Performance and Readiness Program is expanding nationwide. Due to GSU’s incredible leadership, the SPAR Program now has federal funding to help service-members with their combat readiness training. What an accomplishment. Read more here: ",17,2,1,0,0,0,0,4,8,32,0,0,https://news.georgiasouthern.edu/2023/01/11/georgia-southern-program-to-improve-soldiers-physical-and-combat-readiness-to-expand-nationwide-with-5-7-million-federal-funding-boost/,Georgia Southern program to improve soldiers’ physical and combat readiness to expand nationwide with $5.7 million federal funding boost | Newsroom,36494,-2.56,US,GOVERNMENT_OFFICIAL,Congressman Buddy Carter,2015-01-07 15:31:43,Proudly serving Georgia's 1st Congressional District,2023-01-17 06:54:04 PST,2023-01-17,6:54:04,0,Link,https://www.facebook.com/100044233036282/posts/723476425803452,CongressmanBuddyCarter,,
7126,"The Democratic Women's Caucus is united and ready for the fight ahead. As your representatives, we will do everything in our power to protect access to safe, legal abortion across the United States.",44,11,2,0,0,0,0,4,10,71,0,0,https://www.facebook.com/photo.php?fbid=773590600789163&set=a.483887559759470&type=3,,26376,1.08,US,GOVERNMENT_OFFICIAL,Congresswoman Norma Torres,2011-12-20 21:20:25,U.S. Representative for California's 35th District. Mother. Grandmother.,2023-01-11 15:05:01 PST,2023-01-11,15:05:01,0,Photo,https://www.facebook.com/100044146913793/posts/773590620789161,RepNormaTorres,,
