doc_id,text,Author(s),Title,academic,affiliations,ambiguous opt out,clustering subject preference,country,human review,image based PDF,impact statement,impact statement title,industry,manually corrected,mixed,opt out,paper authors (separate scrape),paper identifier,paper link,paper title (separate scrape),paper title (subjects),primary subject area,secondary subject areas,sentence count,statement,statement_id,title,url,word count
3,"This work proposes a novel continual learning algorithm which will contribute to the advance of
related methods. Continual learning of dynamic tasks has not been well-explored in machine learning
so far, but will likely be important for ﬁelds such as robotics and developing artiﬁcial intelligent
agents more generally. Furthermore, we utilize the framework of recurrent networks to test and reﬁne
hypotheses about computation in biological systems. Advances in this area will contribute to the
design of new experiments and aid the analyses of recorded data in the ﬁeld of neuroscience.
","Lea Duncker, Laura Driscoll, Krishna V. Shenoy, Maneesh Sahani, David Sussillo",Organizing recurrent network dynamics by task-computation to enable continual learning,1.0,"{'Stanford', 'Gatsby Unit, UCL', 'Stanford University'}",,"Learning with limited supervision (e.g., unsupervised learning, active learning, few-shot, meta-learning, transfer learning, etc.)","{'UK', 'USA'}",False,False,"This work proposes a novel continual learning algorithm which will contribute to the advance of related methods. Continual learning of dynamic tasks has not been well-explored in machine learning so far, but will likely be important for fields such as robotics and developing artificial intelligent agents more generally. Furthermore, we utilize the framework of recurrent networks to test and refine hypotheses about computation in biological systems. Advances in this area will contribute to the design of new experiments and aid the analyses of recorded data in the field of neuroscience.",Broader Impact,0.0,False,0.0,,"Lea Duncker, Laura Driscoll, Krishna V. Shenoy, Maneesh Sahani, David Sussillo",a576eafbce762079f7d1f77fca1c5cc2,https://proceedings.neurips.cc/paper/2020/file/a576eafbce762079f7d1f77fca1c5cc2-Paper.pdf,Organizing recurrent network dynamics by task-computation to enable continual learning,Organizing recurrent network dynamics by task-computation to enable continual learning,Neuroscience and Cognitive Science -> Neuroscience,Algorithms -> Continual Learning; Algorithms -> Dynamical Systems; Algorithms -> Multitask and Transfer Learning; Deep Learning -> Recurrent Networks; Neuroscience and Cognitive Science -> Memory,4.0,"This work proposes a novel continual learning algorithm which will contribute to the advance of
related methods. Continual learning of dynamic tasks has not been well-explored in machine learning
so far, but will likely be important for ﬁelds such as robotics and developing artiﬁcial intelligent
agents more generally. Furthermore, we utilize the framework of recurrent networks to test and reﬁne
hypotheses about computation in biological systems. Advances in this area will contribute to the
design of new experiments and aid the analyses of recorded data in the ﬁeld of neuroscience.
",3,Organizing recurrent network dynamics by task-computation to enable continual learning,https://papers.nips.cc/paper/2020/file/a576eafbce762079f7d1f77fca1c5cc2-Paper.pdf,90.0
8,"
For the potential positive impacts, we anticipate that the work may raise the public attention about
the security and accountability issues of graph-based machine learning techniques, especially when
they are applied to real-world social networks. Even without accessing any information about the
model training, the graph structure alone can be exploited to damage a deep learning framework with
a rather executable strategy.

On the potential negative side, as our work demonstrates that there is a chance to attack existing GNN
models effectively without any knowledge but a simple graph structure, this may expose a serious
alert to technology companies who maintain the platforms and operate various applications based
on the graphs. However, we believe making this security concern transparent can help practitioners
detect potential attack in this form and better defend the machine learning driven applications.

","Jiaqi Ma, Shuangrui Ding, Qiaozhu Mei",Towards More Practical Adversarial Attacks on Graph Neural Networks,1.0,{'University of Michigan'},,Deep learning,{'USA'},False,False,"For the potential positive impacts, we anticipate that the work may raise the public attention about the security and accountability issues of graph-based machine learning techniques, especially when they are applied to real-world social networks. Even without accessing any information about the model training, the graph structure alone can be exploited to damage a deep learning framework with a rather executable strategy. On the potential negative side, as our work demonstrates that there is a chance to attack existing GNN models effectively without any knowledge but a simple graph structure, this may expose a serious alert to technology companies who maintain the platforms and operate various applications based on the graphs. However, we believe making this security concern transparent can help practitioners detect potential attack in this form and better defend the machine learning driven applications.",Broader Impact,0.0,False,0.0,,"Jiaqi Ma, Shuangrui Ding, Qiaozhu Mei",32bb90e8976aab5298d5da10fe66f21d,https://proceedings.neurips.cc/paper/2020/file/32bb90e8976aab5298d5da10fe66f21d-Paper.pdf,Towards More Practical Adversarial Attacks on Graph Neural Networks,Towards More Practical Adversarial Attacks on Graph Neural Networks,Algorithms,Algorithms -> Adversarial Learning; Optimization -> Submodular Optimization; Social Aspects of Machine Learning -> AI Safety,4.0,"
For the potential positive impacts, we anticipate that the work may raise the public attention about
the security and accountability issues of graph-based machine learning techniques, especially when
they are applied to real-world social networks. Even without accessing any information about the
model training, the graph structure alone can be exploited to damage a deep learning framework with
a rather executable strategy.

On the potential negative side, as our work demonstrates that there is a chance to attack existing GNN
models effectively without any knowledge but a simple graph structure, this may expose a serious
alert to technology companies who maintain the platforms and operate various applications based
on the graphs. However, we believe making this security concern transparent can help practitioners
detect potential attack in this form and better defend the machine learning driven applications.

",8,Towards More Practical Adversarial Attacks on Graph Neural Networks,https://papers.nips.cc/paper/2020/file/32bb90e8976aab5298d5da10fe66f21d-Paper.pdf,136.0
11,"
Who may beneﬁt from this research? We believe users and developers of approximate inference
methods will beneﬁt from our work. Our framework works as an “outer wrapper” that can improve
the effectiveness of any ﬂow-based variational inference method by guiding its structure. We hope to
make expressive ﬂow-based variational inference more tractable, efﬁcient, and broadly applicable,
particularly in high dimensions, by developing automated tests for low-dimensional structure and
ﬂexible ways to exploit it. The trace diagnostic developed in our work rigorously assesses the quality
of transport/ﬂow-based inference, and may be of independent interest.

Who may be put at disadvantage from this research? We don’t believe anyone is put at disad-
vantage due to this research.

What are the consequences of failure of the system? We speciﬁcally point out that one contribu-
tion of this work is identifying when a poor posterior approximation has occurred. A potential failure
mode of our framework would be inaccurate estimation of the diagnostic matrix H or its spectrum,
suggesting that the approximate posterior is more accurate than it truly is. However, computing
the eigenvalues or trace of a symmetric matrix, even one estimated from samples, is a well studied
problem. And numerical software guards against poor eigenvalue estimation or at least warns if this
occurs. We believe the theoretical underpinnings of this work make it robust to undetected failure.

Does the task/method leverage biases in the data? We don’t believe our method leverages data
bias. As a method for variational inference, our goal is to accurately approximate a posterior
distribution. It is very possible to encode biases for/against a particular result in a Bayesian inference
problem, but that occurs at the level of modeling (choosing the prior, deﬁning the likelihood) and
collecting data, not at the level of approximating the posterior.

","Michael Brennan, Daniele Bigoni, Olivier Zahm, Alessio Spantini, Youssef Marzouk",Greedy inference with structure-exploiting lazy maps,1.0,"{'Massachusetts Institute of Technology', 'INRIA'}",,Probabilistic methods and inference,"{'France', 'USA'}",True,False,"Who may benefit from this research? We believe users and developers of approximate inference methods will benefit from our work. Our framework works as an “outer wrapper” that can improve the effectiveness of any flow-based variational inference method by guiding its structure. We hope to make expressive flow-based variational inference more tractable, efficient, and broadly applicable, particularly in high dimensions, by developing automated tests for low-dimensional structure and flexible ways to exploit it. The trace diagnostic developed in our work rigorously assesses the quality of transport/flow-based inference, and may be of independent interest. Who may be put at disadvantage from this research? We don’t believe anyone is put at disadvantage due to this research. What are the consequences of failure of the system? We specifically point out that one contribution of this work is identifying when a poor posterior approximation has occurred. A potential failure mode of our framework would be inaccurate estimation of the diagnostic matrix H or its spectrum, suggesting that the approximate posterior is more accurate than it truly is. However, computing the eigenvalues or trace of a symmetric matrix, even one estimated from samples, is a well studied problem. And numerical software guards against poor eigenvalue estimation or at least warns if this occurs. We believe the theoretical underpinnings of this work make it robust to undetected failure. Does the task/method leverage biases in the data? We don’t believe our method leverages data bias. As a method for variational inference, our goal is to accurately approximate a posterior distribution. It is very possible to encode biases for/against a particular result in a Bayesian inference problem, but that occurs at the level of modeling (choosing the prior, defining the likelihood) and collecting data, not at the level of approximating the posterior.",Broader Impact,0.0,True,0.0,,"Michael Brennan, Daniele Bigoni, Olivier Zahm, Alessio Spantini, Youssef Marzouk",5ef20b89bab8fed38253e98a12f26316,https://proceedings.neurips.cc/paper/2020/file/5ef20b89bab8fed38253e98a12f26316-Paper.pdf,Greedy inference with structure-exploiting lazy maps,Greedy inference with structure-exploiting lazy maps,Probabilistic Methods -> Variational Inference,Algorithms -> Density Estimation; Deep Learning -> Efficient Inference Methods; Deep Learning -> Generative Models; Theory -> High-Dimensional Inference,17.0,"
Who may beneﬁt from this research? We believe users and developers of approximate inference
methods will beneﬁt from our work. Our framework works as an “outer wrapper” that can improve
the effectiveness of any ﬂow-based variational inference method by guiding its structure. We hope to
make expressive ﬂow-based variational inference more tractable, efﬁcient, and broadly applicable,
particularly in high dimensions, by developing automated tests for low-dimensional structure and
ﬂexible ways to exploit it. The trace diagnostic developed in our work rigorously assesses the quality
of transport/ﬂow-based inference, and may be of independent interest.

Who may be put at disadvantage from this research? We don’t believe anyone is put at disad-
vantage due to this research.

What are the consequences of failure of the system? We speciﬁcally point out that one contribu-
tion of this work is identifying when a poor posterior approximation has occurred. A potential failure
mode of our framework would be inaccurate estimation of the diagnostic matrix H or its spectrum,
suggesting that the approximate posterior is more accurate than it truly is. However, computing
the eigenvalues or trace of a symmetric matrix, even one estimated from samples, is a well studied
problem. And numerical software guards against poor eigenvalue estimation or at least warns if this
occurs. We believe the theoretical underpinnings of this work make it robust to undetected failure.

Does the task/method leverage biases in the data? We don’t believe our method leverages data
bias. As a method for variational inference, our goal is to accurately approximate a posterior
distribution. It is very possible to encode biases for/against a particular result in a Bayesian inference
problem, but that occurs at the level of modeling (choosing the prior, deﬁning the likelihood) and
collecting data, not at the level of approximating the posterior.

",11,Greedy inference with structure-exploiting lazy maps,https://papers.nips.cc/paper/2020/file/5ef20b89bab8fed38253e98a12f26316-Paper.pdf,294.0
41,"Unsupervised representation learning can improve learning when only small amounts of labeled data
are available. This is the case in many applications of societal interest, such as medical data analysis
[5, 31], the sciences [22], or drug discovery and repurposing [38]. Improving representation learning,
as we do here, can potentially beneﬁt all these applications.

However, biases in the data can naturally lead to biases in the learned representation [29]. These
biases can, for example, lead to worse performance for smaller classes or groups. For instance, the
majority groups are sampled more frequently than the minority ones [16]. In this respect, our method
may suffer from similar biases as standard contrastive learning, and it is an interesting avenue of
future research to thoroughly test and evaluate this.
","Ching-Yao Chuang, Joshua Robinson, Yen-Chen  Lin, Antonio Torralba, Stefanie Jegelka",Debiased Contrastive Learning,1.0,{'MIT'},,"Learning with limited supervision (e.g., unsupervised learning, active learning, few-shot, meta-learning, transfer learning, etc.)",{'USA'},True,False,"Unsupervised representation learning can improve learning when only small amounts of labeled data are available. This is the case in many applications of societal interest, such as medical data analysis [ 5, 31], the sciences [22], or drug discovery and repurposing [38]. Improving representation learning, as we do here, can potentially benefit all these applications. However, biases in the data can naturally lead to biases in the learned representation [29]. These biases can, for example, lead to worse performance for smaller classes or groups. For instance, the majority groups are sampled more frequently than the minority ones [16]. In this respect, our method may suffer from similar biases as standard contrastive learning, and it is an interesting avenue of future research to thoroughly test and evaluate this.",Broader Impact,0.0,True,0.0,,"Ching-Yao Chuang, Joshua Robinson, Yen-Chen  Lin, Antonio Torralba, Stefanie Jegelka",63c3ddcc7b23daa1e42dc41f9a44a873,https://proceedings.neurips.cc/paper/2020/file/63c3ddcc7b23daa1e42dc41f9a44a873-Paper.pdf,Debiased Contrastive Learning,Debiased Contrastive Learning,Algorithms -> Representation Learning,Algorithms -> Unsupervised Learning; Deep Learning -> Embedding Approaches,7.0,"Unsupervised representation learning can improve learning when only small amounts of labeled data
are available. This is the case in many applications of societal interest, such as medical data analysis
[5, 31], the sciences [22], or drug discovery and repurposing [38]. Improving representation learning,
as we do here, can potentially beneﬁt all these applications.

However, biases in the data can naturally lead to biases in the learned representation [29]. These
biases can, for example, lead to worse performance for smaller classes or groups. For instance, the
majority groups are sampled more frequently than the minority ones [16]. In this respect, our method
may suffer from similar biases as standard contrastive learning, and it is an interesting avenue of
future research to thoroughly test and evaluate this.
",41,Debiased Contrastive Learning,https://papers.nips.cc/paper/2020/file/63c3ddcc7b23daa1e42dc41f9a44a873-Paper.pdf,127.0
44,"Causality and interpretability are crucial aspects of modern machine learning systems. Graphical
models in particular are a promising tool at the intersection of causality and interpretability, and
our work provides an intuitive approach to balance these issues against modeling ﬂexibility with
nonparametric models. That being said, as this work is primarily theoretical, the broader impacts and
ethical implications of our work are most likely to be felt downstream in applications. For example,
while DAGs can provide causal insights under certain assumptions, these models can potentially be
used to provide a false sense of security when they are not applied and deployed carefully. Along
these lines, our work attempts to provide a rigourous sense of when ﬂexible nonparametric causal
models can be learned from data, by developing both theory and algorithms to justify these models
from both mathematical and empirical perspectives.

","Ming Gao, Yi Ding, Bryon Aragam",A polynomial-time algorithm for learning nonparametric causal graphs,1.0,"{'University of Chicago', 'the University of Chicago'}",,Causality,{'USA'},False,False,"Causality and interpretability are crucial aspects of modern machine learning systems. Graphical models in particular are a promising tool at the intersection of causality and interpretability, and our work provides an intuitive approach to balance these issues against modeling flexibility with nonparametric models. That being said, as this work is primarily theoretical, the broader impacts and ethical implications of our work are most likely to be felt downstream in applications. For example, while DAGs can provide causal insights under certain assumptions, these models can potentially be used to provide a false sense of security when they are not applied and deployed carefully. Along these lines, our work attempts to provide a rigourous sense of when flexible nonparametric causal models can be learned from data, by developing both theory and algorithms to justify these models from both mathematical and empirical perspectives.",Broader Impact,0.0,False,0.0,,"Ming Gao, Yi Ding, Bryon Aragam",85c9f9efab89cee90a95cb98f15feacd,https://proceedings.neurips.cc/paper/2020/file/85c9f9efab89cee90a95cb98f15feacd-Paper.pdf,A polynomial-time algorithm for learning nonparametric causal graphs,A polynomial-time algorithm for learning nonparametric causal graphs,Theory -> Statistical Learning Theory,Algorithms -> Model Selection and Structure Learning; Probabilistic Methods -> Graphical Models,5.0,"Causality and interpretability are crucial aspects of modern machine learning systems. Graphical
models in particular are a promising tool at the intersection of causality and interpretability, and
our work provides an intuitive approach to balance these issues against modeling ﬂexibility with
nonparametric models. That being said, as this work is primarily theoretical, the broader impacts and
ethical implications of our work are most likely to be felt downstream in applications. For example,
while DAGs can provide causal insights under certain assumptions, these models can potentially be
used to provide a false sense of security when they are not applied and deployed carefully. Along
these lines, our work attempts to provide a rigourous sense of when ﬂexible nonparametric causal
models can be learned from data, by developing both theory and algorithms to justify these models
from both mathematical and empirical perspectives.

",44,A polynomial-time algorithm for learning nonparametric causal graphs,https://papers.nips.cc/paper/2020/file/85c9f9efab89cee90a95cb98f15feacd-Paper.pdf,140.0
46,"As reinforcement learning becomes increasingly popular in practice and the problem dimension
grows, there is a soaring demand for data-efﬁcient learning algorithms. Through the lens of low-rank
representation of so-called Q-function, this work proposes a theoretical framework to devise efﬁcient
RL algorithms. The resulting “low-rank” algorithm, which utilizes a novel matrix estimation method,
offers both strong theoretical guarantees and appealing empirical performance.

In particular, the novel “low-rank” perspective about RL provides an effective tool to tackle RL
problems with both state and action spaces continuous, which have received much less attention
despite their practical signiﬁcance. We believe that this work serves as an important step towards
provable efﬁcient RL for continuous problems. The theoretical insights in this work can motivate
further research in both efﬁcient RL and ME, while the empirical results should be beneﬁcial more
broadly for practitioners working in continuous controls.

","Devavrat Shah, Dogyoon Song, Zhi Xu, Yuzhe Yang",Sample Efficient Reinforcement Learning via Low-Rank Matrix Estimation,1.0,"{'Massachusetts Institute of Technology', 'MIT'}",,Reinforcement learning and planning,{'USA'},False,False,"As reinforcement learning becomes increasingly popular in practice and the problem dimension grows, there is a soaring demand for data-efficient learning algorithms. Through the lens of low-rank representation of so-called Q -function, this work proposes a theoretical framework to devise efficient RL algorithms. The resulting “low-rank” algorithm, which utilizes a novel matrix estimation method, offers both strong theoretical guarantees and appealing empirical performance. In particular, the novel “low-rank” perspective about RL provides an effective tool to tackle RL problems with both state and action spaces continuous, which have received much less attention despite their practical significance. We believe that this work serves as an important step towards provable efficient RL for continuous problems. The theoretical insights in this work can motivate further research in both efficient RL and ME, while the empirical results should be beneficial more broadly for practitioners working in continuous controls.",Broader Impact,0.0,False,0.0,,"Devavrat Shah, Dogyoon Song, Zhi Xu, Yuzhe Yang",8d2355364e9a2ba1f82f975414937b43,https://proceedings.neurips.cc/paper/2020/file/8d2355364e9a2ba1f82f975414937b43-Paper.pdf,Sample Efficient Reinforcement Learning via Low-Rank Matrix Estimation,Sample Efficient Reinforcement Learning via Low-Rank Matrix Estimation,Reinforcement Learning and Planning,Theory,6.0,"As reinforcement learning becomes increasingly popular in practice and the problem dimension
grows, there is a soaring demand for data-efﬁcient learning algorithms. Through the lens of low-rank
representation of so-called Q-function, this work proposes a theoretical framework to devise efﬁcient
RL algorithms. The resulting “low-rank” algorithm, which utilizes a novel matrix estimation method,
offers both strong theoretical guarantees and appealing empirical performance.

In particular, the novel “low-rank” perspective about RL provides an effective tool to tackle RL
problems with both state and action spaces continuous, which have received much less attention
despite their practical signiﬁcance. We believe that this work serves as an important step towards
provable efﬁcient RL for continuous problems. The theoretical insights in this work can motivate
further research in both efﬁcient RL and ME, while the empirical results should be beneﬁcial more
broadly for practitioners working in continuous controls.

",46,Sample Efficient Reinforcement Learning via Low-Rank Matrix Estimation,https://papers.nips.cc/paper/2020/file/8d2355364e9a2ba1f82f975414937b43-Paper.pdf,144.0
67,"
This is a theoretical contribution that, nevertheless, has the potential of impacting a wide range of
application domains in business, engineering and science. In particular, all of those in which the
Wasserstein distance has been extensively used as a statistical inference tool (e.g. image analysis and
computer vision, signal processing, operations research, and so on). Because our paper provides a
step towards breaking the curse of dimensionality in statistical rates of convergence, we believe that
we have the potential of enabling more applications to multiple hypothesis testing (e.g., certifying
Wasserstein GANs). In turn, we plan to improve human resource development by including some of
the main ﬁndings in this paper in Ph.D. courses.

","Nian Si, Jose Blanchet, Soumyadip Ghosh, Mark Squillante",Quantifying the Empirical Wasserstein Distance to a Set of Measures: Beating the Curse of Dimensionality,1.0,"{'Stanford University', 'IBM Research'}",,Theory (including computational and statistical analyses),{'USA'},False,False,"This is a theoretical contribution that, nevertheless, has the potential of impacting a wide range of application domains in business, engineering and science. In particular, all of those in which the Wasserstein distance has been extensively used as a statistical inference tool (e.g. image analysis and computer vision, signal processing, operations research, and so on). Because our paper provides a step towards breaking the curse of dimensionality in statistical rates of convergence, we believe that we have the potential of enabling more applications to multiple hypothesis testing (e.g., certifying Wasserstein GANs). In turn, we plan to improve human resource development by including some of the main findings in this paper in Ph.D. courses.",Broader Impact,1.0,False,1.0,,"Nian Si, Jose Blanchet, Soumyadip Ghosh, Mark Squillante",f3507289cfdc8c9ae93f4098111a13f9,https://proceedings.neurips.cc/paper/2020/file/f3507289cfdc8c9ae93f4098111a13f9-Paper.pdf,Quantifying the Empirical Wasserstein Distance to a Set of Measures: Beating the Curse of Dimensionality,Quantifying the Empirical Wasserstein Distance to a Set of Measures: Beating the Curse of Dimensionality,Theory -> Large Deviations and Asymptotic Analysis,Algorithms -> Nonlinear Dimensionality Reduction and Manifold Learning; Theory -> Models of Learning and Generalization ; Theory -> Spaces of Functions and Kernels; Theory -> Statistical Learning Theory,4.0,"
This is a theoretical contribution that, nevertheless, has the potential of impacting a wide range of
application domains in business, engineering and science. In particular, all of those in which the
Wasserstein distance has been extensively used as a statistical inference tool (e.g. image analysis and
computer vision, signal processing, operations research, and so on). Because our paper provides a
step towards breaking the curse of dimensionality in statistical rates of convergence, we believe that
we have the potential of enabling more applications to multiple hypothesis testing (e.g., certifying
Wasserstein GANs). In turn, we plan to improve human resource development by including some of
the main ﬁndings in this paper in Ph.D. courses.

",67,Quantifying the Empirical Wasserstein Distance to a Set of Measures: Beating the Curse of Dimensionality,https://papers.nips.cc/paper/2020/file/f3507289cfdc8c9ae93f4098111a13f9-Paper.pdf,113.0
76,"
Our work aims to advance the algorithmic foundations of adversarially robust machine learning. This
subﬁeld focuses on protecting machine learning models (especially their predictions) against small
perturbations of the input data. This broad goal is a pressing challenge in many real-world scenarios,
where successful adversarial example attacks can have far-reaching implications given the adoption
of machine learning in a wide variety of applications, from self-driving cars to banking.

Since the primary focus of our work is theoretical and addresses a simple concept class, we do not
expect our results to have immediate societal impact. Nonetheless, we believe that our ﬁndings
provide interesting insights on the algorithmic possibilities and fundamental computational limitations
of adversarially robust learning. We hope that, in the future, these insights could be useful in the
design of practically relevant adversarially robust classiﬁers in the presence of noisy data.

","Ilias Diakonikolas, Daniel M. Kane, Pasin Manurangsi",The Complexity of Adversarially Robust Proper Learning of Halfspaces with Agnostic Noise,1.0,"{'Google', 'UW Madison', 'UCSD'}",,,{'USA'},False,False,"Our work aims to advance the algorithmic foundations of adversarially robust machine learning. This subfield focuses on protecting machine learning models (especially their predictions) against small perturbations of the input data. This broad goal is a pressing challenge in many real-world scenarios, where successful adversarial example attacks can have far-reaching implications given the adoption of machine learning in a wide variety of applications, from self-driving cars to banking. Since the primary focus of our work is theoretical and addresses a simple concept class, we do not expect our results to have immediate societal impact. Nonetheless, we believe that our findings provide interesting insights on the algorithmic possibilities and fundamental computational limitations of adversarially robust learning. We hope that, in the future, these insights could be useful in the design of practically relevant adversarially robust classifiers in the presence of noisy data.",Broader Impact,1.0,False,1.0,,"Ilias Diakonikolas, Daniel M. Kane, Pasin Manurangsi",ebd64e2bf193fc8c658af2b91952ce8d,https://proceedings.neurips.cc/paper/2020/file/ebd64e2bf193fc8c658af2b91952ce8d-Paper.pdf,The Complexity of Adversarially Robust Proper Learning of Halfspaces with Agnostic Noise,The Complexity of Adversarially Robust Proper Learning of Halfspaces with Agnostic Noise,Theory -> Computational Learning Theory,Theory -> Hardness of Learning and Approximations,6.0,"
Our work aims to advance the algorithmic foundations of adversarially robust machine learning. This
subﬁeld focuses on protecting machine learning models (especially their predictions) against small
perturbations of the input data. This broad goal is a pressing challenge in many real-world scenarios,
where successful adversarial example attacks can have far-reaching implications given the adoption
of machine learning in a wide variety of applications, from self-driving cars to banking.

Since the primary focus of our work is theoretical and addresses a simple concept class, we do not
expect our results to have immediate societal impact. Nonetheless, we believe that our ﬁndings
provide interesting insights on the algorithmic possibilities and fundamental computational limitations
of adversarially robust learning. We hope that, in the future, these insights could be useful in the
design of practically relevant adversarially robust classiﬁers in the presence of noisy data.

",76,The Complexity of Adversarially Robust Proper Learning of Halfspaces with Agnostic Noise,https://papers.nips.cc/paper/2020/file/ebd64e2bf193fc8c658af2b91952ce8d-Paper.pdf,141.0
104,"
As a theoretical paper we do not foresee our work directly having any societal consequences. However,
transfer learning is a tool increasingly used in practical machine learning applications. Theoretical
explorations related to transfer learning may help provide frameworks through which to reason about,
and design, safer and more reliable algorithms.

","Nilesh Tripuraneni, Michael Jordan, Chi Jin",On the Theory of Transfer Learning: The Importance of Task Diversity,1.0,"{'UC Berkeley', 'Princeton University'}",True,,{'USA'},False,False,"As a theoretical paper we do not foresee our work directly having any societal consequences. However, transfer learning is a tool increasingly used in practical machine learning applications. Theoretical explorations related to transfer learning may help provide frameworks through which to reason about, and design, safer and more reliable algorithms.",Broader Impact,0.0,False,0.0,True,"Nilesh Tripuraneni, Michael Jordan, Chi Jin",59587bffec1c7846f3e34230141556ae,https://proceedings.neurips.cc/paper/2020/file/59587bffec1c7846f3e34230141556ae-Paper.pdf,On the Theory of Transfer Learning: The Importance of Task Diversity,On the Theory of Transfer Learning: The Importance of Task Diversity,Theory -> Statistical Learning Theory,Theory -> Models of Learning and Generalization,3.0,"
As a theoretical paper we do not foresee our work directly having any societal consequences. However,
transfer learning is a tool increasingly used in practical machine learning applications. Theoretical
explorations related to transfer learning may help provide frameworks through which to reason about,
and design, safer and more reliable algorithms.

",104,On the Theory of Transfer Learning: The Importance of Task Diversity,https://papers.nips.cc/paper/2020/file/59587bffec1c7846f3e34230141556ae-Paper.pdf,50.0
116,"Convolutional neural networks (CNNs) can achieve superhuman performance on image classiﬁcation
tasks. This advantage allows their deployment to computer vision applications such as medical
imaging, security, and autonomous driving. However, CNNs trained on natural images tend to overﬁt
to image textures. Such ﬂaw can cause a CNN to fail against adversarial attacks and on distorted
images. This may further lead to unreliable predictions potentially causing false medical diagnoses,
trafﬁc accidents, and false identiﬁcation of criminal suspects. To address the robustness issues in
CNNs, CNN-F adopts an architectural design which resembles human vision mechanisms in certain
aspects. The deployment of CNN-F renders more robust AI systems.

Despite the improved robustness, current method does not tackle other social and ethical issues
intrinsic to a CNN. A CNN can imitate human biases in the image datasets. In automated surveillance,
biased training datasets can improperly calibrate CNN-F systems to make incorrect decisions based
on race, gender, and age. Furthermore, while robust, human-like computer vision systems can provide
a net positive societal impact, there exists potential use cases with nefarious, unethical purposes.
More human-like computer vision algorithms, for example, could circumvent human veriﬁcation
software. Motivated by these limitations, we encourage research into human bias in machine learning
and security in computer vision algorithms. We also recommend researchers and policymakers
examine how people abuse CNN models and mitigate their exploitation.

","Yujia Huang, James Gornet, Sihui Dai, Zhiding Yu, Tan Nguyen, Doris Tsao, Anima Anandkumar",Neural Networks with Recurrent Generative Feedback,1.0,"{'NVIDIA', 'California Institute of Technology', 'Caltech', 'Rice University', 'NVIDIA / Caltech'}",,Deep learning,{'USA'},False,False,"Convolutional neural networks (CNNs) can achieve superhuman performance on image classification tasks. This advantage allows their deployment to computer vision applications such as medical imaging, security, and autonomous driving. However, CNNs trained on natural images tend to overfit to image textures. Such flaw can cause a CNN to fail against adversarial attacks and on distorted images. This may further lead to unreliable predictions potentially causing false medical diagnoses, traffic accidents, and false identification of criminal suspects. To address the robustness issues in CNNs, CNN-F adopts an architectural design which resembles human vision mechanisms in certain aspects. The deployment of CNN-F renders more robust AI systems. Despite the improved robustness, current method does not tackle other social and ethical issues intrinsic to a CNN. A CNN can imitate human biases in the image datasets. In automated surveillance, biased training datasets can improperly calibrate CNN-F systems to make incorrect decisions based on race, gender, and age. Furthermore, while robust, human-like computer vision systems can provide a net positive societal impact, there exists potential use cases with nefarious, unethical purposes. More human-like computer vision algorithms, for example, could circumvent human verification software. Motivated by these limitations, we encourage research into human bias in machine learning and security in computer vision algorithms. We also recommend researchers and policymakers examine how people abuse CNN models and mitigate their exploitation.",Broader Impacts,1.0,False,1.0,,"Yujia Huang, James Gornet, Sihui Dai, Zhiding Yu, Tan Nguyen, Doris Tsao, Anima Anandkumar",0660895c22f8a14eb039bfb9beb0778f,https://proceedings.neurips.cc/paper/2020/file/0660895c22f8a14eb039bfb9beb0778f-Paper.pdf,Neural Networks with Recurrent Generative Feedback,Neural Networks with Recurrent Generative Feedback,Neuroscience and Cognitive Science,Neuroscience and Cognitive Science -> Visual Perception,14.0,"Convolutional neural networks (CNNs) can achieve superhuman performance on image classiﬁcation
tasks. This advantage allows their deployment to computer vision applications such as medical
imaging, security, and autonomous driving. However, CNNs trained on natural images tend to overﬁt
to image textures. Such ﬂaw can cause a CNN to fail against adversarial attacks and on distorted
images. This may further lead to unreliable predictions potentially causing false medical diagnoses,
trafﬁc accidents, and false identiﬁcation of criminal suspects. To address the robustness issues in
CNNs, CNN-F adopts an architectural design which resembles human vision mechanisms in certain
aspects. The deployment of CNN-F renders more robust AI systems.

Despite the improved robustness, current method does not tackle other social and ethical issues
intrinsic to a CNN. A CNN can imitate human biases in the image datasets. In automated surveillance,
biased training datasets can improperly calibrate CNN-F systems to make incorrect decisions based
on race, gender, and age. Furthermore, while robust, human-like computer vision systems can provide
a net positive societal impact, there exists potential use cases with nefarious, unethical purposes.
More human-like computer vision algorithms, for example, could circumvent human veriﬁcation
software. Motivated by these limitations, we encourage research into human bias in machine learning
and security in computer vision algorithms. We also recommend researchers and policymakers
examine how people abuse CNN models and mitigate their exploitation.

",116,Neural Networks with Recurrent Generative Feedback,https://papers.nips.cc/paper/2020/file/0660895c22f8a14eb039bfb9beb0778f-Paper.pdf,224.0
